tweet_id,favorites,retweets
670764103623966721,1083,431
670778058496974848,330,74
670780561024270336,793,294
670782429121134593,1580,787
670783437142401025,829,403
670786190031921152,609,205
670789397210615808,669,246
670792680469889025,837,285
670797304698376195,741,242
670803562457407488,347,88
670804601705242624,1986,977
670807719151067136,1170,500
670811965569282048,1142,275
670815497391357952,3210,1567
670822709593571328,619,99
670823764196741120,784,197
670826280409919488,5598,4139
670832455012716544,741,224
670833812859932673,452,128
670838202509447168,1124,710
670840546554966016,598,198
670842764863651840,24815,8892
670995969505435648,1113,299
671109016219725825,1157,449
671115716440031232,1374,792
671122204919246848,3517,2569
671134062904504320,756,199
671138694582165504,930,412
671141549288370177,1172,668
671147085991960577,680,230
671151324042559489,672,158
671154572044468225,719,225
671159727754231808,377,84
671163268581498880,1675,1131
671166507850801152,885,358
671182547775299584,1132,352
671186162933985280,740,218
671347597085433856,963,438
671355857343524864,485,116
671357843010908160,402,150
671362598324076544,1121,299
671390180817915904,1432,747
671485057807351808,763,235
671486386088865792,580,208
671488513339211776,1021,479
671497587707535361,925,454
671504605491109889,7081,3614
671511350426865664,1624,740
671518598289059840,961,297
671520732782923777,1409,535
671528761649688577,847,265
671533943490011136,1032,591
671536543010570240,1185,419
671538301157904385,934,404
671542985629241344,1099,574
671544874165002241,1997,1068
671547767500775424,1363,608
671561002136281088,12920,7369
671729906628341761,8574,4432
671735591348891648,1463,773
671743150407421952,745,236
671744970634719232,1359,787
671763349865160704,1700,946
671768281401958400,1200,536
671789708968640512,7119,3559
671855973984772097,914,454
671866342182637568,1130,510
671874878652489728,1256,569
671879137494245376,1437,697
671882082306625538,3499,1404
671891728106971137,1344,585
671896809300709376,8546,4245
672068090318987265,1301,525
672082170312290304,947,374
672095186491711488,1010,374
672125275208069120,2429,1166
672139350159835138,1765,727
672160042234327040,882,365
672169685991993344,1029,376
672205392827572224,2283,1179
672222792075620352,791,215
672231046314901505,1851,1039
672239279297454080,903,329
672245253877968896,693,162
672248013293752320,1734,625
672254177670729728,1446,758
672256522047614977,2838,1589
672264251789176834,1152,343
672267570918129665,1517,628
672272411274932228,6513,3466
